n,n^2,mlogn,mn^2
2,0,0,0
52,0,1.19946e+006,1.94922e+006
102,399800,7.12614e+006,5.72282e+006
152,1.20128e+006,1.31856e+007,1.27997e+007
202,1.59687e+006,2.29668e+007,2.19249e+007
252,3.28022e+006,3.65337e+007,3.75115e+007
302,3.15024e+006,5.31999e+007,5.09615e+007
352,1.92246e+006,7.12888e+007,7.15291e+007
402,1.12788e+006,9.62111e+007,9.70796e+007
452,1.21528e+006,1.21373e+008,1.21604e+008
502,1.00725e+007,1.53035e+008,1.53524e+008
552,1.17227e+007,1.8931e+008,1.89375e+008
602,6.86558e+006,2.24194e+008,2.26288e+008
652,1.72206e+007,2.87163e+008,2.75924e+008
702,2.48302e+007,3.22032e+008,3.19334e+008
752,3.05792e+007,3.72349e+008,3.72297e+008
802,2.69854e+007,4.25681e+008,4.21795e+008
852,2.12261e+007,4.98432e+008,4.85831e+008
902,2.56396e+007,5.51343e+008,5.45981e+008
952,4.05875e+007,6.35977e+008,6.38484e+008
