n,time
2,1.76e-06
52,0.00021356
102,0.00071598
152,0.00167352
202,0.00251312
252,0.00641698
302,0.00416194
352,0.00412
402,0.00668518
452,0.00514608
502,0.0070839
552,0.0293292
602,0.026948
652,0.0257081
702,0.021416
752,0.00984598
802,0.0309063
852,0.00741094
902,0.0102257
952,0.0750371
1002,0.0436608
1052,0.0149131
1102,0.0439418
1152,0.0781869
1202,0.0735531
1252,0.0948838
1302,0.0860211
1352,0.0872583
1402,0.0718284
1452,0.0866496
1502,0.0204366
1552,0.114889
1602,0.0964111
1652,0.180188
1702,0.0994625
1752,0.0235887
1802,0.104778
1852,0.233614
1902,0.106754
1952,0.191094
